Id|CategoryId|ItemId|Display|Rank|Voided
fe0228c2-0052-11e8-ba89-0ed5f89f718b|b25fa291-852f-11e7-bb31-be3e73b06b34|a577c7de-0052-11e8-aa69-0ed5f89f718b||3|0
fe022d18-0052-11e8-ba89-0ed5f89f718b|b25fa291-852f-11e7-bb31-be3e73b06b34|a577c914-0052-11e8-aa69-0ed5f89f718b||4|0
fe022f2a-0052-11e8-ba89-0ed5f89f718b|b25fa291-852f-11e7-bb31-be3e73b06b34|a577cda6-0052-11e8-aa69-0ed5f89f718b||5|0
c2293984-0053-11e8-ba89-0ed5f89f718b|749094ba-0053-11e8-ba89-0ed5f89f718b|749076e2-0053-11e8-ba89-0ed5f89f718b||1|1
c2293d62-0053-11e8-ba89-0ed5f89f718b|749094ba-0053-11e8-ba89-0ed5f89f718b|74907a98-0053-11e8-ba89-0ed5f89f718b||2|1
c2293f60-0053-11e8-ba89-0ed5f89f718b|749094ba-0053-11e8-ba89-0ed5f89f718b|74907dae-0053-11e8-ba89-0ed5f89f718b||3|0
c22940b4-0053-11e8-ba89-0ed5f89f718b|749094ba-0053-11e8-ba89-0ed5f89f718b|749080ce-0053-11e8-ba89-0ed5f89f718b||4|0
c22941f4-0053-11e8-ba89-0ed5f89f718b|749094ba-0053-11e8-ba89-0ed5f89f718b|7490840c-0053-11e8-ba89-0ed5f89f718b||5|0
825566c4-0054-11e8-ba89-0ed5f89f718b|c2294a78-0053-11e8-ba89-0ed5f89f718b|b25eccd4-852f-11e7-bb31-be2e44b06b34||1|0
8255696c-0054-11e8-ba89-0ed5f89f718b|c2294a78-0053-11e8-ba89-0ed5f89f718b|b25ed04e-852f-11e7-bb31-be2e44b06b34||2|0
82556aac-0054-11e8-ba89-0ed5f89f718b|c2294a78-0053-11e8-ba89-0ed5f89f718b|c22946ae-0053-11e8-ba89-0ed5f89f718b||3|0
82557164-0054-11e8-ba89-0ed5f89f718b|8255784e-0054-11e8-ba89-0ed5f89f718b|B25EFD8A-852F-11E7-BB31-BE2E44B06B34||1|0
8255739e-0054-11e8-ba89-0ed5f89f718b|8255784e-0054-11e8-ba89-0ed5f89f718b|B25EFB78-852F-11E7-BB31-BE2E44B06B34||2|0
82557600-0054-11e8-ba89-0ed5f89f718b|8255784e-0054-11e8-ba89-0ed5f89f718b|B25F859A-852F-11E7-BB31-BE2E44B06B34||3|0
